,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,.45/.410 bore,19,2,26,7,38,14,2,1,1,88,46,0,0,4,37,21,10,8,17,23,3,18,3,8,8,6,18,3,7,18,3,8,12,15,33,1,31,5,12,38,0,2,21,3,35,80,0,3,1,33,11,8,5,3,819
,.50 cal,7,3,16,4,37,6,5,19,0,48,14,0,0,1,24,6,13,1,13,6,0,81,4,13,29,4,2,2,1,2,0,8,6,38,29,0,23,4,10,32,1,1,10,0,12,27,0,0,2,41,14,4,14,0,637
,5.56mm,9,0,61,1,163,14,4,1,2,50,143,1,1,2,15,9,5,11,9,11,5,28,3,5,7,3,9,1,2,15,1,6,9,21,31,1,9,5,17,13,12,3,17,0,7,90,0,25,8,17,15,3,6,1,907
,5.7mm,2,0,26,1,39,3,1,0,3,47,23,0,0,2,13,15,0,4,3,6,0,9,1,14,0,1,9,1,1,7,0,2,1,3,4,0,4,4,1,12,6,0,2,0,7,42,1,5,0,5,4,1,3,1,339
,7.62mm,109,22,454,37,"1,020",67,44,22,27,558,260,2,6,37,235,225,48,91,87,190,17,172,39,173,141,77,136,5,51,133,12,66,73,164,341,9,239,141,80,213,68,12,103,8,100,649,3,35,10,155,124,14,83,8,"7,195"
,7mm,27,5,20,12,97,16,11,4,1,31,31,1,0,9,23,4,4,8,7,18,10,37,3,6,12,5,5,8,2,8,1,4,12,13,21,4,6,9,25,23,0,0,8,1,11,29,0,8,1,15,18,5,13,1,653
,8mm,0,0,13,0,92,7,7,2,1,12,20,0,0,1,14,4,5,1,5,2,2,19,2,11,3,0,2,0,0,4,1,2,1,17,10,0,7,33,5,4,0,0,2,0,6,10,0,1,0,6,5,0,5,0,344
,9mm,655,102,"1,562",127,"4,780",432,215,181,345,"3,996","2,323",6,23,116,"2,205","1,088",183,543,632,"1,353",72,"1,092",282,807,413,450,879,77,201,595,45,741,220,"1,506","1,823",28,"2,154",261,447,"1,796",202,59,771,17,957,"2,522",50,452,31,"1,448",621,129,510,35,"42,560"
,10mm,8,8,19,1,65,4,7,0,3,34,20,0,2,4,13,5,0,11,5,16,1,10,0,10,9,4,15,3,2,2,1,3,4,12,14,0,14,2,7,17,5,1,4,0,5,26,1,1,0,18,12,2,2,1,433
,12GA,328,79,644,111,"3,155",151,106,142,93,"1,428",796,7,18,94,868,531,219,217,222,444,75,"1,130",116,357,287,203,308,38,168,268,26,249,154,712,"1,334",27,656,119,309,721,16,25,308,45,512,"1,190",2,98,21,696,377,103,278,25,"20,606"
,16GA,10,2,20,3,92,8,10,2,3,55,40,0,2,3,29,26,6,7,11,11,2,42,5,22,9,4,14,1,1,3,0,6,3,23,40,0,31,9,6,31,0,0,11,1,47,31,0,1,1,30,13,3,17,1,748
,20GA,79,14,105,22,439,29,14,27,7,255,170,0,3,13,194,131,59,59,54,99,15,212,15,70,75,49,67,10,43,22,6,44,36,137,255,5,126,36,42,148,2,2,56,11,154,247,0,20,8,108,61,31,68,1,"3,955"
,"*An additional 131 calibers accounted for 5,308 firearms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
