,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Found Firearm,353,71,522,81,"1,167",262,84,90,156,"2,130","1,324",0,3,84,"1,273",488,165,141,111,976,48,448,183,173,288,946,264,39,88,183,18,949,86,732,"1,215",28,734,96,702,476,79,12,389,21,372,"1,115",24,96,10,551,335,52,210,56,"20,499"
,Fraud,7,0,59,0,50,3,0,1,1,27,59,0,0,0,28,74,23,0,9,6,0,3,0,16,2,0,8,0,0,2,0,2,2,2,26,0,6,36,2,31,1,0,0,0,9,13,0,4,0,5,16,4,0,1,538
,Gambling,1,0,0,0,8,0,2,0,0,4,6,0,18,0,0,2,0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,1,0,0,0,86
,Health-Safety,96,15,642,7,591,12,16,7,0,"1,214",267,0,0,55,126,186,22,80,5,126,1,729,5,47,31,76,71,0,10,552,5,27,3,387,428,1,662,14,105,91,4,4,31,1,88,426,0,29,9,338,204,11,15,0,"7,872"
,Homicide,108,34,230,39,639,83,32,17,14,555,237,0,2,24,165,138,39,64,68,219,7,168,22,129,29,58,208,6,19,49,27,94,107,95,270,4,248,39,53,233,4,9,141,14,134,477,10,40,7,150,123,28,87,5,"5,801"
,Homicide-Attempted,23,2,13,8,104,28,2,5,3,144,13,0,6,1,82,17,5,18,8,90,2,50,10,22,1,2,4,6,1,48,4,32,1,11,34,0,36,3,23,57,0,0,42,0,12,30,1,8,4,8,8,3,45,1,"1,081"
,Homicide-Neglig Mansl-Veh,0,0,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13
,Immigration,7,0,36,8,8,5,0,0,0,8,14,0,0,0,3,2,0,1,11,3,0,1,1,17,1,1,4,1,0,14,0,2,0,3,27,0,1,1,0,2,2,0,14,0,7,42,0,1,0,2,2,13,7,0,272
,Incendiary Device - Possess,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
,Incendiary Device - Teaching Use,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Incendiary Device - Using,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,20
,International Trafficking,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12
,Invasion of Privacy,3,1,6,0,5,2,0,0,0,25,18,0,0,0,3,1,0,0,0,5,0,3,7,8,0,0,2,0,8,1,0,0,2,0,3,0,1,0,5,0,0,0,0,0,2,6,0,0,0,2,1,0,0,0,120
,Kidnapping,4,0,33,6,50,5,0,0,0,23,13,0,0,6,5,4,0,5,2,4,0,6,0,2,0,9,18,0,1,4,1,3,3,1,15,0,24,1,1,2,0,0,2,0,13,54,0,1,2,4,0,1,2,1,331
,Licensing - Registration Weapon,0,0,0,0,22,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,24,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,60
,Liquor,3,1,15,0,5,12,0,0,0,9,2,0,0,5,2,15,0,1,1,1,0,0,0,0,0,3,1,0,1,0,0,0,2,0,13,0,1,3,1,3,0,0,21,1,3,2,0,13,0,22,2,0,3,0,167
,Military,0,0,6,0,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,20
,Money Laundering,0,0,9,0,3,0,0,0,0,17,4,0,0,0,6,0,0,0,0,1,1,61,0,2,0,2,1,0,1,13,0,2,9,63,4,0,0,0,23,1,3,0,0,0,1,19,0,0,0,59,1,0,0,0,306
,Morals/Decency Crimes,0,0,0,0,9,4,3,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29
,None Provided,4,2,24,1,177,13,7,1,0,251,470,0,0,0,54,80,2,35,48,16,1,38,2,41,14,6,25,3,2,74,0,10,5,19,31,0,11,4,1,"1,251",19,0,17,8,76,92,0,13,5,51,11,3,12,0,"3,030"
,Obscenity,0,0,0,2,32,0,0,0,0,3,1,0,0,0,15,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,25,0,0,2,0,0,1,0,0,3,0,0,0,5,10,0,0,0,105
,Obstruction of Justice,4,3,25,0,465,10,0,2,0,84,19,0,0,0,8,0,0,0,1,12,32,7,1,17,0,0,0,0,3,1,0,3,0,9,7,0,4,0,4,8,1,0,2,0,1,8,0,0,0,2,2,0,5,0,750
,Obstruction of Police,10,0,6,1,51,4,1,1,0,25,73,0,0,2,7,8,0,2,1,4,0,0,0,14,4,2,48,7,0,1,0,4,2,8,17,0,14,2,4,5,0,0,8,0,1,9,0,1,0,3,3,1,4,0,358
,Possession of Weapon,"1,113",243,845,215,"11,423",691,584,236,554,"3,323","2,254",10,58,198,"3,031","2,226",614,741,545,"1,222",163,"1,188",779,932,681,458,"1,054",206,205,555,83,"1,719",436,"3,971","3,069",111,"2,575",689,568,"2,122",233,182,652,53,"1,357","3,165",75,208,109,"1,539",907,302,908,121,"61,501"
,Property Crimes,133,35,371,15,912,30,3,5,2,303,443,0,2,23,50,147,12,26,66,270,2,96,1,32,58,106,192,8,51,116,1,35,60,37,421,2,185,50,138,262,0,2,72,4,150,218,1,39,1,135,157,21,35,2,"5,538"
,Property Damage,3,1,54,0,36,3,0,0,0,7,21,0,0,0,6,2,25,4,0,13,1,8,0,2,3,2,4,0,0,0,0,1,0,3,30,0,9,0,2,8,0,0,4,0,11,17,0,0,0,8,2,0,1,1,292
,Public Order Crimes,22,1,20,0,19,6,0,0,0,6,79,0,0,1,2,3,3,3,2,2,0,1,0,0,0,1,2,1,23,0,0,0,5,0,36,0,14,2,2,12,4,0,6,0,0,17,0,8,3,8,24,2,4,1,345
,Public Peace,13,6,72,3,67,8,3,1,0,242,119,0,0,18,39,8,0,2,3,10,0,5,2,3,13,7,3,0,13,3,0,6,0,2,127,0,16,1,22,26,0,1,14,1,11,102,0,18,0,56,24,2,53,1,"1,146"
,Robbery,104,5,247,23,529,55,13,21,39,401,260,0,0,9,165,137,11,53,38,156,9,185,10,64,25,29,82,5,26,50,3,58,11,184,276,3,283,13,27,292,10,2,71,4,158,343,6,11,1,116,91,11,84,0,"4,809"
,Selling Weapon,8,0,5,154,130,66,26,2,6,103,66,0,0,0,396,44,1,0,12,0,0,8,10,24,3,6,7,0,0,2,0,19,0,238,38,0,253,3,5,41,2,0,19,0,64,97,0,530,2,39,11,53,1,0,"2,494"
,Sex Crimes,7,0,6,1,74,2,0,23,2,29,27,0,0,1,13,22,0,2,4,22,4,55,0,2,4,1,7,0,2,3,0,5,1,7,42,0,10,2,22,34,0,0,3,0,4,11,0,2,1,9,19,0,4,1,490
,Simple Assault,34,14,198,1,371,25,15,6,9,244,118,0,1,12,32,25,16,21,12,213,6,386,4,22,14,32,37,32,4,35,0,64,2,209,395,3,197,10,49,170,0,6,46,0,392,266,5,19,0,41,114,4,12,0,"3,943"
,Smuggling,0,0,9,0,46,0,0,0,0,21,1,0,0,0,3,1,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,20,2,0,0,1,8,1,0,0,136
,Sovereignty,0,0,0,0,1,0,1,1,0,12,4,0,0,0,6,1,0,1,1,3,1,2,0,1,2,1,0,0,0,0,0,1,0,9,1,0,2,2,0,4,0,0,1,0,3,1,0,0,0,2,16,0,2,0,82
,Suicide,60,32,174,5,498,120,9,26,3,590,172,0,3,27,178,116,25,94,55,119,18,127,28,33,50,28,72,23,59,123,6,14,49,46,189,3,103,25,107,330,3,12,102,4,69,272,0,30,1,178,122,4,60,8,"4,604"
,Suicide-Attempted,37,23,64,1,66,38,2,21,0,196,82,0,0,6,82,40,12,30,8,42,6,101,5,7,30,32,51,2,27,8,0,3,4,5,79,2,41,5,71,84,0,0,48,0,31,164,0,30,9,69,73,1,62,3,"1,803"
,Threat,4,0,12,0,215,0,5,1,0,0,51,0,1,0,14,1,1,0,14,12,4,3,0,0,34,0,2,0,31,0,0,18,0,2,1,0,7,0,0,85,0,0,1,7,0,31,0,4,0,0,1,2,2,4,570
,Threat to Bomb,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,9,2,0,0,0,41
,Threat to Burn,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
,Traffic Offense,20,40,126,2,533,77,5,4,0,253,346,0,0,24,13,27,5,17,11,73,1,33,1,24,18,45,56,4,95,77,0,7,10,23,81,1,36,8,57,75,4,1,38,2,43,88,0,15,2,57,184,2,24,4,"2,692"
,Vice Crimes,0,0,6,0,5,2,0,0,0,15,6,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,1,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,0,1,0,60
,Weapon Offense,524,75,"1,346",62,"5,438",258,13,27,10,600,366,0,15,17,629,223,40,237,72,136,5,439,79,140,156,111,248,19,82,21,15,93,20,214,301,3,226,20,186,348,200,32,369,1,"1,326","1,167",3,35,22,991,178,28,52,21,"17,239"
,Weapons Trafficking,5,1,44,3,57,1,29,0,1,107,7,0,0,0,67,16,13,28,0,3,0,176,15,6,83,0,3,0,6,0,0,43,4,21,51,0,72,341,2,7,129,0,2,0,63,432,6,2,0,16,37,24,1,0,"1,924"
,TOTAL,"4,277",801,"7,974",918,"31,244","2,337","1,284",979,"1,419","19,287","11,647",39,210,870,"11,681","5,716","1,475","2,537","3,354","6,586",555,"8,008","1,600","4,360","2,603","2,826","4,362",513,"1,311","2,955",278,"3,595","1,503","8,731","11,560",233,"9,311","1,706","3,166","9,375",925,305,"3,953",225,"6,300","13,574",158,"1,524",285,"7,436","3,784",963,"2,984",281,"235,883"
